gvfs 1.34.1+11+gad63dfb7-1
gvfs-afc 1.34.1+11+gad63dfb7-1
gvfs-gphoto2 1.34.1+11+gad63dfb7-1
gvfs-mtp 1.34.1+11+gad63dfb7-1
gvfs-smb 1.34.1+11+gad63dfb7-1
gzip 1.8-2
harfbuzz 1.7.4-1
harfbuzz-icu 1.7.4-1
haskell-aeson 1.2.3.0-4
haskell-aeson-compat 0.3.7.1-10
haskell-annotated-wl-pprint 0.7.0-6
haskell-ansi-terminal 0.7.1.1-1
haskell-ansi-wl-pprint 0.6.8.2-1
haskell-asn1-encoding 0.9.5-26
haskell-asn1-parse 0.9.4-37
haskell-asn1-types 0.3.2-33
haskell-async 2.1.1.1-5
haskell-attoparsec 0.13.2.2-1
haskell-attoparsec-iso8601 1.0.0.0-17
haskell-auto-update 0.1.4-6
haskell-base-compat 0.9.3-5
haskell-base-orphans 0.6-5
haskell-base-prelude 1.2.0.1-5
haskell-base16-bytestring 0.1.1.6-7
haskell-base64-bytestring 1.0.0.1-10
haskell-basement 0.0.5-1
haskell-bifunctors 5.5-1
haskell-bindings-uname 0.1-4
haskell-bitarray 0.0.1.1-5
haskell-blaze-builder 0.4.0.2-8
haskell-blaze-html 0.9.0.1-6
haskell-blaze-markup 0.8.2.0-1
haskell-byteable 0.1.1-7
haskell-call-stack 0.1.0-5
haskell-case-insensitive 1.2.0.10-7
haskell-cereal 0.5.4.0-5
haskell-clock 0.7.2-6
haskell-cmdargs 0.10.19-1
haskell-colour 2.3.4-1
haskell-comonad 5.0.2-4
haskell-conduit 1.2.13-3
haskell-conduit-extra 1.2.3.2-6
haskell-connection 0.2.8-38
haskell-contravariant 1.4-20
haskell-cookie 0.4.3-3
haskell-cpphs 1.20.8-5
haskell-cryptohash 0.11.9-41
haskell-cryptohash-sha256 0.11.101.0-2
haskell-cryptonite 0.24-14
haskell-cryptonite-conduit 0.2.2-18
haskell-data-default 0.7.1.1-10
haskell-data-default-class 0.1.2.0-6
haskell-data-default-instances-containers 0.0.1-18
haskell-data-default-instances-dlist 0.0.1-23
haskell-data-default-instances-old-locale 0.0.1-18
haskell-digest 0.0.1.2-7
haskell-distributive 0.5.3-4
haskell-dlist 0.8.0.3-4
haskell-easy-file 0.2.1-6
haskell-echo 0.1.3-4
haskell-ed25519 0.0.5.0-6
haskell-either 5-3
haskell-exceptions 0.8.3-5
haskell-extra 1.6.2-1
haskell-fast-logger 2.4.10-7
haskell-file-embed 0.0.10.1-3
haskell-filelock 0.1.1.2-4
haskell-foundation 0.0.18-1
haskell-free 4.12.4-41
haskell-fsnotify 0.2.1.1-5
haskell-generic-deriving 1.12.1-1
haskell-gitrev 1.3.1-4
haskell-glob 0.9.1-1
haskell-hackage-security 0.5.2.2-11
haskell-hashable 1.2.6.1-5
haskell-hastache 0.6.1-14
haskell-hinotify 0.3.9-6
haskell-hourglass 0.2.10-6
haskell-hpack 0.21.2-13
haskell-hscolour 1.24.4-1
haskell-hspec 2.4.7-1
haskell-hspec-core 2.4.7-1
haskell-hspec-discover 2.4.7-1
haskell-hspec-expectations 0.8.2-6
haskell-hspec-smallcheck 0.5.0-1
haskell-http-api-data 0.3.7.1-23
haskell-http-client 0.5.8-1
haskell-http-client-tls 0.3.5.1-31
haskell-http-conduit 2.2.4-16
haskell-http-types 0.9.1-16
haskell-hunit 1.6.0.0-5
haskell-ieee754 0.8.0-5
haskell-integer-logarithms 1.0.2-4
haskell-lifted-base 0.2.3.11-8
haskell-logict 0.6.0.2-5
haskell-math-functions 0.2.1.0-6
haskell-memory 0.14.12-1
haskell-microlens 0.4.8.3-1
haskell-microlens-mtl 0.1.11.1-1
haskell-microlens-th 0.4.1.3-1
haskell-mime-types 0.1.0.7-8
haskell-mintty 0.1.1-4
haskell-mmorph 1.1.0-5
haskell-monad-control 1.0.2.2-4
haskell-monad-logger 0.3.28-2
haskell-monad-loops 0.4.3-7
haskell-monadrandom 0.5.1-6
haskell-mono-traversable 1.0.8.1-1
haskell-mtl 2.2.1-10
haskell-mwc-random 0.13.6.0-5
haskell-neat-interpolation 0.3.2.1-2
haskell-network 2.6.3.3-1
haskell-network-uri 2.6.1.0-9
haskell-old-locale 1.0.0.7-12
haskell-old-time 1.1.0.3-12
haskell-open-browser 0.2.1.0-7
haskell-optparse-applicative 0.14.0.0-5
haskell-optparse-simple 0.1.0-3
haskell-parsec 3.1.11-8
haskell-path 0.6.1-14
haskell-path-io 1.3.3-10
haskell-path-pieces 0.2.1-11
haskell-pem 0.2.2-8
haskell-persistent 2.7.3-14
haskell-persistent-sqlite 2.6.4-21
haskell-persistent-template 2.5.3-23
haskell-pid1 0.1.2.0-4
haskell-polyparse 1.12-8
haskell-prelude-extras 0.4.0.3-6
haskell-primitive 0.6.2.0-5
haskell-profunctors 5.2.1-7
haskell-project-template 0.2.0.1-1
haskell-quickcheck 2.10.1-2
haskell-quickcheck-io 0.2.0-6
haskell-random 1.1-10
haskell-refact 0.3.0.2-7
haskell-regex-applicative 0.3.3-6
haskell-regex-applicative-text 0.1.0.1-7
haskell-resource-pool 0.2.3.2-23
haskell-resourcet 1.1.11-1
haskell-retry 0.7.5.1-1
haskell-safe 0.3.15-4
haskell-scientific 0.3.5.2-4
haskell-semigroupoids 5.2.1-8
haskell-semigroups 0.18.3-6
haskell-setenv 0.1.1.3-7
haskell-silently 1.2.5-7
haskell-smallcheck 1.1.3.1-1
haskell-socks 0.5.6-2
haskell-split 0.2.3.2-5
haskell-src-exts 1.19.1-5
haskell-src-exts-util 0.2.1.2-3
haskell-src-meta 0.8.0.1-14
haskell-statevar 1.1.0.4-6
haskell-stm 2.4.4.1-7
haskell-stm-chans 3.0.0.4-8
haskell-store 0.4.3.2-36
haskell-store-core 0.4.1-7
haskell-streaming-commons 0.1.18-7
haskell-syb 0.7-4
haskell-tagged 0.8.5-5
haskell-tar 0.5.0.3-6
haskell-temporary 1.2.1.1-4
haskell-text 1.2.3.0-1
haskell-text-metrics 0.3.0-4
haskell-tf-random 0.5-14
haskell-th-abstraction 0.2.6.0-3
haskell-th-expand-syns 0.4.4.0-1
haskell-th-lift 0.7.7-5
haskell-th-lift-instances 0.1.11-9
haskell-th-orphans 0.13.4-7
haskell-th-reify-many 0.1.8-6
haskell-th-utilities 0.2.0.1-23
haskell-time-locale-compat 0.1.1.3-5
haskell-tls 1.4.0-16
haskell-transformers-base 0.4.4-9
haskell-transformers-compat 0.5.1.4-7
haskell-typed-process 0.2.1.0-1
haskell-unicode-transforms 0.3.3-4
haskell-uniplate 1.6.12-20
haskell-unix-compat 0.4.3.1-5
haskell-unix-time 0.3.7-5
haskell-unliftio 0.2.4.0-1
