accountsservice 0.6.45-1
spotify 1.0.67.582-1
stack 1.6.3-36
sudo 1.8.21.p2-1
sysfsutils 2.1.0-9
syslog-ng 3.13.2-2
systemd-sysvcompat 236.81-1
tar 1.30-1
terminus-font 4.46-1.1
texinfo 6.5-1
texlive-bibtexextra 2017.45810-1
texlive-core 2017.45811-1
texlive-fontsextra 2017.45939-1
texlive-formatsextra 2017.45678-1
texlive-games 2017.44131-1
texlive-humanities 2017.45709-1
texlive-latexextra 2017.45733-1
texlive-music 2017.45674-1
texlive-pictures 2017.45569-1
texlive-pstricks 2017.45644-1
texlive-publishers 2017.45734-1
texlive-science 2017.45707-1
thunderbird 52.5.2-1
tlp 1.0-1.5
tmux 2.6-2
transmission-gtk 2.92-8
tree 1.7.0-2
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-dejavu-sans-mono-powerline 0.r78.97dc451-2
ttf-droid 20121017-5
ttf-inconsolata 20151221.480630d-2
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-7
unzip 6.0-12
upower 0.99.7-1
usbutils 009-1
util-linux 2.31.1-1
vi 1:070224-2
vibrancy-colors 2.7-2
viewnior 1.6-3
vim 8.0.1415-2
vivaldi 1.14.1077.45-1
vlc-nightly 3.0.0v20180114-1
volumeicon 0.5.1-1
w3m 0.5.3.git20171120-1
wget 1.19.2-1
which 2.21-2
wmutils 1.2.r2.g9372688-1
wpa_supplicant 1:2.6-11
xarchiver 0.5.4.12-1
xautolock 2.2-4
xclip 0.13-1
xcursor-chameleon-pearl 0.5-4
xcursor-maia 20160417-1
xdg-su 1.2.3-1
xdg-user-dirs 0.16-1
xdg-utils 1.1.2-1
xdotool 3.20160805.1-1
xf86-input-elographics 1.4.1-7
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.26.0-1
xf86-input-mouse 1.9.2-3
xf86-input-void 1.4.1-3
xf86-video-intel 1:2.99.917+802+gaf6d8e9e-1
xfsprogs 4.14.0-1
xorg-server 1.19.6-2
xorg-twm 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xkill 1.0.4-1
xorg-xprop 1.2.2-1
xterm 331-1
yaourt 1.9-1
zd1211-firmware 1.5-1
zip 3.0-7
